Unterstrichen,Kursiv,Fett,Name
n,n,j,bewegender
n,n,j,bewegendes
n,n,j,bewegte
n,n,j,bewegtes
n,n,j,bewegter
n,n,j,bewegten
n,n,j,bonusaktion
n,n,j,bonusaktionen
n,n,j,sofortige Bonusaktion
n,n,j,sofortige Bonusaktionen
n,n,j,sofortigen Bonusaktion
n,n,j,sofortigen Bonusaktionen
n,n,j,sofortige Folgeangriffe
n,n,j,sofortiger Folgeangriffe
n,n,j,sofortigen Folgeangriffen
n,n,j,sofortiger Folgeangriff
n,n,j,sofortigen Folgeangriffs
n,n,j,ultimative Fähigkeit
n,n,j,ultimative Fähigkeiten
n,n,j,ultimativen Fähigkeit
n,n,j,ultimativen Fähigkeiten
n,n,j,Brand
n,n,j,Brennend
n,n,j,Brennende
n,n,j,Brennenden
n,n,j,Brennender
n,n,j,Brennendes
n,n,j,Erstarren
n,n,j,Erstarrt
n,n,j,Erstarrte
n,n,j,Erstarrten
n,n,j,Erstarrtes
n,n,j,Erstarrter
n,n,j,Vortex
n,n,j,Schock
n,n,j,Geschockt
n,n,j,Geschockte
n,n,j,Geschocktes
n,n,j,Geschockter
n,n,j,Geschockten
n,n,j,Regeneration
n,n,j,Regeneriert
n,n,j,Regenerierte
n,n,j,Regeneriertes
n,n,j,Regenerierter
n,n,j,Regenerieren
n,n,j,Regenerierend
n,n,j,Regenerierende
n,n,j,Regenerierender
n,n,j,Regenerierendes
n,n,j,Regenerierenden
n,n,j,Lebensregeneration
n,n,j,Kontrolle
n,n,j,Kontrolliert
n,n,j,Kontrollierte
n,n,j,Kontrolliertes
n,n,j,Kontrollierter
n,n,j,Kontrollierten
n,n,j,Ziel
n,n,j,Ziele
n,n,j,Zielen
n,n,j,Ziels
n,n,j,aufheben
n,n,j,Aufgehoben
n,n,j,aufgehobene
n,n,j,aufgehobener
n,n,j,aufgehobenes
n,n,j,aufgehobenen
n,n,j,Aufgehobener
n,n,j,Aufgehobenes
n,n,j,Aufgehobenen
n,n,j,Aufgehobene
n,n,j,Aufhebung
n,n,j,Wucht
n,n,j,Vergesst
n,n,j,Vergisst
n,n,j,Vergessene
n,n,j,Vergessener
n,n,j,Vergessenes
n,n,j,Vergessenen
n,n,j,Penetrieren
n,n,j,Verbannen
n,n,j,Verbannt
n,n,j,Verbannend
n,n,j,Verbannende
n,n,j,Verbannendes
n,n,j,Verbannenden
n,n,j,Verbannender
n,n,j,Verbannte
n,n,j,Verbanntes
n,n,j,Verbannter
n,n,j,Verbannten
n,n,j,Verbannung
n,n,j,Verbannungen
n,n,j,Heilig
n,n,j,Heilige
n,n,j,Heiliger
n,n,j,Heiliges
n,n,j,Heiligen
n,n,j,Stürmen
n,n,j,Verlagern
n,n,j,Folgeangriff
n,n,j,Folgeangriffe
n,n,j,Folgeangriffen
n,n,j,Folgeangriffs
n,n,j,Gegenangriff
n,n,j,Gegenangriffe
n,n,j,Gegenangriffen
n,n,j,Gegenangriffs
n,n,j,Flankieren
n,n,j,Kritisch
n,n,j,Kritischer
n,n,j,Kritische
n,n,j,Kritisches
n,n,j,Kritischen
n,n,j,Kritischer Treffer
n,n,j,Kritischen Treffer
n,n,j,Kritischen Treffern
n,n,j,Kritischen Treffers
n,n,j,Kritische Treffer
n,n,j,Undurchdringlich
n,n,j,Deckung +1
n,n,j,Deckung +2
n,n,j,Deckung +3
n,n,j,Deckung +4
n,n,j,Deckung +5
n,n,j,Deckung +6
n,n,j,Auslöser-Fähigkeit
n,n,j,Auslöser-Fähigkeiten
n,n,j,Passive Fähigkeit
n,n,j,Passive Fähigkeiten
n,n,j,Passiven Fähigkeit
n,n,j,Passiven Fähigkeiten
n,n,j,Bruch
n,n,j,Kritischer Bruch
n,n,j,Bruchs
n,n,j,Brüche
n,n,j,Brüchen
n,n,j,Kritische Brüche
n,n,j,Kritischen Brüchen
n,n,j,Gebrochen
n,n,j,Gebrochene
n,n,j,Gebrochenes
n,n,j,Gebrochenen
n,n,j,Gebrochener
n,n,j,Enthüllungs-Fähigkeit
n,n,j,Enthüllungs-Fähigkeiten
n,n,j,Andauernde Fähigkeit
n,n,j,Andauernde Fähigkeiten
n,n,j,Andauernden Fähigkeiten
n,n,j,Andauernden Fähigkeit
n,n,j,Andauernde Effekte
n,n,j,Andauernden Effekte
n,n,j,Andauernden Effekten
n,n,j,Andauernder Effekte
n,n,j,Andauernder Effekt
n,n,j,Aktions-Fähigkeit
n,n,j,Aktions-Fähigkeiten
n,n,j,Modifikation
n,n,j,Modifikationen
n,n,j,Modifizieren
n,n,j,Modifizierend
n,n,j,Modifizierende
n,n,j,Modifizierendes
n,n,j,Modifizierender
n,n,j,Modifizierenden
n,n,j,Modifiziert
n,n,j,Modifizierte
n,n,j,Modifiziertes
n,n,j,Modifizierter
n,n,j,Modifizierten
n,n,j,Modifizierung
n,n,j,Modifizierungen
n,n,j,Synchronzauber
n,n,j,Synchronzaubern
n,n,j,Synchronzaubers
n,n,j,Synchronisieren
n,n,j,Synchronisierend
n,n,j,Synchronisierende
n,n,j,Synchronisierendes
n,n,j,Synchronisierender
n,n,j,Synchronisierenden
n,n,j,Synchronisiert
n,n,j,Synchronisierte
n,n,j,Synchronisierter
n,n,j,Synchronisiertes
n,n,j,Synchronisierten
n,n,j,Standardangriff
n,n,j,Standardangriffe
n,n,j,Standardangriffen
n,n,j,Standardangriffs
n,n,j,Bewegung
n,n,j,Bewegungen
n,n,j,Bewegungs-Aktion
n,n,j,Bewegungs-Aktionen
n,n,j,Bewegt
n,n,j,Bewegen
n,n,j,Bewegend
n,n,j,Bewegende
n,n,j,Bewegenden
n,n,j,Bewegender
n,n,j,Bewegendes
n,n,j,Bewegte
n,n,j,Bewegtes
n,n,j,Bewegter
n,n,j,Bewegten
n,n,j,Bonus-Bewegungsaktion
n,n,j,Bonus-Bewegungsaktionen
n,n,j,Bonusaktion
n,n,j,Bonuskationen
n,n,j,Sofortige Bonusaktion
n,n,j,Sofortige Bonusaktionen
n,n,j,Sofortigen Bonusaktion
n,n,j,Sofortigen Bonusaktionen
n,n,j,Sofortige Folgeangriffe
n,n,j,Sofortiger Folgeangriffe
n,n,j,Sofortigen Folgeangriffen
n,n,j,Sofortiger Folgeangriff
n,n,j,Sofortigen Folgeangriffs
n,n,j,Ultimative Fähigkeit
n,n,j,Ultimative Fähigkeiten
n,n,j,Ultimativen Fähigkeit
n,n,j,Ultimativen Fähigkeiten
n,n,j,bewegungsaktion
n,n,j,bewegungsaktionen
n,n,j,Bewegungsaktion
n,n,j,Bewegungsaktionen
n,n,j,sofortiger bonusaktion
n,n,j,sofortiger Bonusaktion
n,n,j,sofortiger bonusaktionen
n,n,j,sofortiger Bonusaktionen
